5          Tony    重庆       13112345678     教育部   1234567@qq.com    朋友   
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
0          0       0          0               0        0                 0      
1          Jane    重庆市     18996620597     沈阳工业大学  2359133164@qq.com   朋友   
2          Mack    辽宁省     18996620598     沈阳工业大学  2359133164@qq.com   家人   
3          Tom     沈阳       13012345678     国防部   2359133011@qq.com   家人   
